Movie Title,Released Year,Duration,Restrticted Rating,Rating (Star out of 10),User Vote,Director (1),Director (2),Director (3),Starring (1),Starring (2),Starring (3),Synopsis
 The Shawshank Redemption,1994,2h 22m,R,9.3, 2.9M,Frank Darabont,,,Tim Robbins,Morgan Freeman,Bob Gunton,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
 The Godfather,1972,2h 55m,R,9.2, 2M,Francis Ford Coppola,,,Marlon Brando,Al Pacino,James Caan,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
 The Dark Knight,2008,2h 32m,PG-13,9.0, 2.9M,Christopher Nolan,,,Christian Bale,Heath Ledger,Aaron Eckhart,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
 The Godfather Part II,1974,3h 22m,R,9.0, 1.4M,Francis Ford Coppola,,,Al Pacino,Robert De Niro,Robert Duvall,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
 12 Angry Men,1957,1h 36m,Approved,9.0, 871K,Sidney Lumet,,,Henry Fonda,Lee J. Cobb,Martin Balsam,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
 Schindler's List,1993,3h 15m,R,9.0, 1.5M,Steven Spielberg,,,Liam Neeson,Ralph Fiennes,Ben Kingsley,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
 The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0, 2M,Peter Jackson,,,Elijah Wood,Viggo Mortensen,Ian McKellen,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
 Pulp Fiction,1994,2h 34m,R,8.9, 2.2M,Quentin Tarantino,,,John Travolta,Uma Thurman,Samuel L. Jackson,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
 The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9, 2M,Peter Jackson,,,Elijah Wood,Ian McKellen,Orlando Bloom,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
" The Good, the Bad and the Ugly",1966,2h 58m,R,8.8, 815K,Sergio Leone,,,Clint Eastwood,Eli Wallach,Lee Van Cleef,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
 Forrest Gump,1994,2h 22m,PG-13,8.8, 2.3M,Robert Zemeckis,,,Tom Hanks,Robin Wright,Gary Sinise,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
 The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8, 1.8M,Peter Jackson,,,Elijah Wood,Ian McKellen,Viggo Mortensen,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
 Fight Club,1999,2h 19m,R,8.8, 2.3M,David Fincher,,,Brad Pitt,Edward Norton,Meat Loaf,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
 Inception,2010,2h 28m,PG-13,8.8, 2.6M,Christopher Nolan,,,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
 Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7, 1.4M,Irvin Kershner,,,Mark Hamill,Harrison Ford,Carrie Fisher,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
 The Matrix,1999,2h 16m,R,8.7, 2.1M,Lana Wachowski,Lilly Wachowski,,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
 Goodfellas,1990,2h 25m,R,8.7, 1.3M,Martin Scorsese,,,Robert De Niro,Ray Liotta,Joe Pesci,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
 One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7, 1.1M,Milos Forman,,,Jack Nicholson,Louise Fletcher,Michael Berryman,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
 Se7en,1995,2h 7m,R,8.6, 1.8M,David Fincher,,,Morgan Freeman,Brad Pitt,Kevin Spacey,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
 Interstellar,2014,2h 49m,PG-13,8.7, 2.1M,Christopher Nolan,,,Matthew McConaughey,Anne Hathaway,Jessica Chastain,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
 It's a Wonderful Life,1946,2h 10m,PG,8.6, 501K,Frank Capra,,,James Stewart,Donna Reed,Lionel Barrymore,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
 Seven Samurai,1954,3h 27m,Not Rated,8.6, 368K,Akira Kurosawa,,,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
 The Silence of the Lambs,1991,1h 58m,R,8.6, 1.6M,Jonathan Demme,,,Jodie Foster,Anthony Hopkins,Scott Glenn,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
 Saving Private Ryan,1998,2h 49m,R,8.6, 1.5M,Steven Spielberg,,,Tom Hanks,Matt Damon,Tom Sizemore,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
