director
Frank Darabont
Francis Ford Coppola
Christopher Nolan
Francis Ford Coppola
Sidney Lumet
Steven Spielberg
Peter Jackson
Quentin Tarantino
Peter Jackson
Sergio Leone
Robert Zemeckis
Peter Jackson
David Fincher
Christopher Nolan
Irvin Kershner
Lana Wachowski
Martin Scorsese
Milos Forman
David Fincher
Christopher Nolan
Frank Capra
Akira Kurosawa
Jonathan Demme
Steven Spielberg
Fernando Meirelles
Roberto Benigni
Frank Darabont
James Cameron
George Lucas
Denis Villeneuve
Robert Zemeckis
Hayao Miyazaki
Roman Polanski
Bong Joon Ho
Alfred Hitchcock
Ridley Scott
Joaquim Dos Santos
Roger Allers
Martin Scorsese
Luc Besson
Tony Kaye
Damien Chazelle
Christopher Nolan
Isao Takahata
Masaki Kobayashi
Bryan Singer
Michael Curtiz
Olivier Nakache
Giuseppe Tornatore
Charles Chaplin
Alfred Hitchcock
Sergio Leone
Ridley Scott
Charles Chaplin
Quentin Tarantino
Francis Ford Coppola
Christopher Nolan
Andrew Stanton
Vidhu Vinod Chopra
Steven Spielberg
Florian Henckel von Donnersmarck
Billy Wilder
Anthony Russo
Stanley Kubrick
Bob Persichetti
Billy Wilder
Stanley Kubrick
Charles Chaplin
James Cameron
Quentin Tarantino
Christopher Nolan
Stanley Kubrick
Lee Unkrich
Park Chan-wook
Sam Mendes
Milos Forman
John Lasseter
Anthony Russo
Wolfgang Petersen
Mel Gibson
Gus Van Sant
Hayao Miyazaki
Todd Phillips
Makoto Shinkai
Akira Kurosawa
Sergio Leone
Rajkumar Hirani
Stanley Donen
Nadine Labaki
Elem Klimov
Darren Aronofsky
Lee Unkrich
Richard Marquand
Michel Gondry
Thomas Vinterberg
Stanley Kubrick
Quentin Tarantino
Akira Kurosawa
Christopher Nolan
David Lean
Billy Wilder
Denis Villeneuve
Alfred Hitchcock
Orson Welles
Fritz Lang
Brian De Palma
Billy Wilder
Alfred Hitchcock
Stanley Kubrick
Jean-Pierre Jeunet
Michael Mann
Pete Docter
Stanley Kubrick
Robert Mulligan
Asghar Farhadi
George Roy Hill
Steven Spielberg
John McTiernan
Aamir Khan
Fritz Lang
Guy Ritchie
Curtis Hanson
Sam Mendes
Thomas Kail
Vittorio De Sica
Martin Scorsese
Oliver Hirschbiegel
Nitesh Tiwari
Sergio Leone
Christopher Nolan
Martin Scorsese
Billy Wilder
Peter Farrelly
Charles Chaplin
Florian Zeller
Stanley Kramer
Peter Weir
Joseph L. Mankiewicz
Joseph Kosinski
Martin Scorsese
Paul Thomas Anderson
Martin Scorsese
Steven Spielberg
Akira Kurosawa
M. Night Shyamalan
Guillermo del Toro
Clint Eastwood
Ethan Coen
Ron Howard
John Carpenter
Quentin Tarantino
John Huston
Akira Kurosawa
Terry Gilliam
John Sturges
Andrew Stanton
Denis Villeneuve
Hayao Miyazaki
Akira Kurosawa
David Lynch
Alfred Hitchcock
Roman Polanski
Victor Fleming
Guy Ritchie
Juan José Campanella
James McTeigue
Pete Docter
Martin Scorsese
Martin McDonagh
Danny Boyle
David Lean
Sergio Pablos
Joel Coen
Steven Spielberg
Jon Watts
Gavin O'Connor
Clint Eastwood
Clint Eastwood
David Yates
Hayao Miyazaki
Majid Majidi
Steve McQueen
William Wyler
Ridley Scott
Richard Linklater
Wes Anderson
Stanley Kubrick
George Miller
David Fincher
Mel Gibson
Charles Chaplin
Peter Weir
Bong Joon Ho
Jim Sheridan
Damián Szifron
Michael Cimino
Pete Docter
Clyde Bruckman
Elia Kazan
Buster Keaton
Dean DeBlois
Steven Spielberg
Carol Reed
Henri-Georges Clouzot
Adam Elliot
Ingmar Bergman
Brad Bird
Frank Capra
James Mangold
Yasujirô Ozu
Joel Coen
Lenny Abrahamson
John G. Avildsen
Ingmar Bergman
James Mangold
Tom McCarthy
Terry George
James Cameron
Oliver Stone
Mathieu Kassovitz
Carl Theodor Dreyer
Richard Linklater
William Wyler
Gore Verbinski
William Friedkin
T.J. Gnanavel
Ron Howard
Sidney Lumet
Victor Fleming
Rob Reiner
Brad Bird
Lasse Hallström
Çagan Irmak
Park Chan-wook
Sean Penn
Robert Wise
Ernst Lubitsch
Gillo Pontecorvo
John Ford
Harold Ramis
Alejandro G. Iñárritu
Brad Bird
Alfred Hitchcock
Stuart Rosenberg
Tate Taylor
Frank Capra
Nishikant Kamat
Kevin Costner
Ron Clements
Anurag Kashyap
