year,duration,rating
1994,2h 22m,R
1972,2h 55m,R
2008,2h 32m,PG-13
1974,3h 22m,R
1957,1h 36m,Approved
1993,3h 15m,R
2003,3h 21m,PG-13
1994,2h 34m,R
2001,2h 58m,PG-13
1966,2h 58m,R
1994,2h 22m,PG-13
2002,2h 59m,PG-13
1999,2h 19m,R
2010,2h 28m,PG-13
1980,2h 4m,PG
1999,2h 16m,R
1990,2h 25m,R
1975,2h 13m,R
1995,2h 7m,R
2014,2h 49m,PG-13
1946,2h 10m,PG
1954,3h 27m,Not Rated
1991,1h 58m,R
1998,2h 49m,R
2002,2h 10m,R
1997,1h 56m,PG-13
1999,3h 9m,R
1991,2h 17m,R
1977,2h 1m,PG
2024,2h 46m,PG-13
1985,1h 56m,PG
2001,2h 5m,PG
2002,2h 30m,R
2019,2h 12m,R
1960,1h 49m,R
2000,2h 35m,R
2023,2h 20m,PG
1994,1h 28m,G
2006,2h 31m,R
1994,1h 50m,R
1998,1h 59m,R
2014,1h 46m,R
2006,2h 10m,PG-13
1988,1h 29m,Not Rated
1962,2h 13m,Not Rated
1995,1h 46m,R
1942,1h 42m,PG
2011,1h 52m,R
1988,2h 54m,PG
1936,1h 27m,G
1954,1h 52m,PG
1968,2h 46m,PG-13
1979,1h 57m,R
1931,1h 27m,G
2012,2h 45m,R
1979,2h 27m,R
2000,1h 53m,R
2008,1h 38m,G
2023,2h 27m,
1981,1h 55m,PG
2006,2h 17m,R
1950,1h 50m,Approved
2018,2h 29m,PG-13
1957,1h 28m,Approved
2018,1h 57m,PG
1957,1h 56m,Approved
1980,2h 26m,R
1940,2h 5m,G
1986,2h 17m,R
2009,2h 33m,R
2012,2h 44m,PG-13
1964,1h 35m,PG
2017,1h 45m,PG
2003,2h,R
1999,2h 2m,R
1984,2h 40m,PG
1995,1h 21m,G
2019,3h 1m,PG-13
1981,2h 29m,
1995,2h 58m,R
1997,2h 6m,R
1997,2h 14m,PG-13
2019,2h 2m,R
2016,1h 46m,
1963,2h 23m,Not Rated
1984,3h 49m,R
2009,2h 50m,PG-13
1952,1h 43m,G
2018,2h 6m,R
1985,2h 22m,Not Rated
2000,1h 42m,NC-17
2010,1h 43m,G
1983,2h 11m,PG
2004,1h 48m,R
2012,1h 55m,R
1968,2h 29m,G
1992,1h 39m,R
1952,2h 23m,Not Rated
2023,3h,R
1962,3h 38m,PG
1960,2h 5m,Approved
2010,2h 11m,R
1959,2h 16m,Approved
1941,1h 59m,PG
1931,1h 39m,Passed
1983,2h 50m,R
1944,1h 47m,Approved
1958,2h 8m,PG
1987,1h 56m,R
2001,2h 2m,R
1995,2h 50m,R
2009,1h 36m,PG
1971,2h 16m,R
1962,2h 9m,Approved
2011,2h 3m,PG-13
1973,2h 9m,PG
1989,2h 7m,PG-13
1988,2h 12m,R
2007,2h 42m,PG
1927,2h 33m,Not Rated
2000,1h 42m,R
1997,2h 18m,R
2019,1h 59m,R
2020,2h 40m,PG-13
1948,1h 29m,Not Rated
1976,1h 54m,R
2004,2h 36m,R
2016,2h 41m,Not Rated
1965,2h 12m,R
2005,2h 20m,PG-13
2013,3h,R
1959,2h 1m,Approved
2018,2h 10m,PG-13
1921,1h 8m,Passed
2020,1h 37m,PG-13
1961,2h 59m,Approved
1998,1h 43m,PG
1950,2h 18m,Approved
2010,2h 18m,R
2022,2h 10m,PG-13
2007,2h 38m,R
1995,2h 58m,R
1993,2h 7m,PG-13
1985,2h 40m,R
1999,1h 47m,PG-13
2006,1h 58m,R
1992,2h 10m,R
2007,2h 2m,R
2001,2h 15m,PG-13
1982,1h 49m,R
2003,1h 51m,R
1948,2h 6m,Approved
1961,1h 50m,Not Rated
1975,1h 31m,PG
1963,2h 52m,Approved
2003,1h 40m,G
2013,2h 33m,R
2004,1h 59m,PG
1950,1h 28m,Not Rated
1980,2h 4m,PG
1954,1h 45m,PG
1974,2h 10m,R
1939,3h 58m,G
1998,1h 47m,R
2009,2h 9m,R
2005,2h 12m,R
2015,1h 35m,PG
1980,2h 9m,R
2017,1h 55m,R
1996,1h 33m,R
1957,2h 41m,PG
2019,1h 36m,PG
1996,1h 38m,R
2002,2h 21m,PG-13
2021,2h 28m,PG-13
2011,2h 20m,PG-13
2008,1h 56m,R
2004,2h 12m,PG-13
2011,2h 10m,PG-13
1988,1h 26m,G
1997,1h 29m,PG
2013,2h 14m,R
1959,3h 32m,G
1982,1h 57m,R
1995,1h 41m,R
2014,1h 39m,R
1975,3h 5m,PG
2015,2h,R
2014,2h 29m,R
2016,2h 19m,R
1925,1h 35m,Approved
1989,2h 8m,PG
2003,2h 12m,Not Rated
1993,2h 13m,R
2014,2h 2m,R
1978,3h 3m,R
2001,1h 32m,G
1926,1h 18m,Passed
1954,1h 48m,Approved
1924,45m,Passed
2010,1h 38m,PG
1975,2h 4m,PG
1949,1h 33m,Approved
1953,2h 11m,Not Rated
2009,1h 32m,Not Rated
1957,1h 31m,Not Rated
2007,1h 51m,G
1939,2h 9m,Approved
2019,2h 32m,PG-13
1953,2h 16m,Not Rated
1998,1h 57m,R
2015,1h 58m,R
1976,2h,PG
1957,1h 36m,Not Rated
2017,2h 17m,R
2015,2h 9m,R
2004,2h 1m,PG-13
1984,1h 47m,R
1986,2h,R
1995,1h 38m,Not Rated
1928,1h 54m,Passed
2004,1h 20m,R
1946,2h 50m,Approved
2003,2h 23m,PG-13
1973,2h 2m,R
2021,2h 44m,Approved
2013,2h 3m,R
1976,2h 1m,R
1939,1h 42m,G
1986,1h 29m,R
2004,1h 55m,PG
2009,1h 33m,G
2005,1h 52m,Not Rated
2016,2h 25m,Not Rated
1965,2h 52m,G
2007,2h 28m,R
1942,1h 39m,Approved
1966,2h 1m,Not Rated
1940,2h 9m,Approved
1993,1h 41m,PG
2000,2h 34m,R
1999,1h 26m,PG
1940,2h 10m,Approved
1967,2h 7m,Approved
2011,2h 26m,PG-13
1934,1h 45m,Approved
2015,2h 43m,Not Rated
1990,3h 1m,PG-13
1992,1h 30m,G
2012,5h 21m,Not Rated
